"UIDESTADODECUENTA","UIDMONEDERO","UIDTIPOTARIFA","UIDESTATUSMONEDERO","INUMMONEDERO","DSALDO","STIPOTARIFA","BACTIVOMONEDERO","BBAJAMONEDERO","UIDMOTIVOMONEDERO","UIDMOTIVOTARJETA","UIDTARJETA","INUMEROTARJETA","UIDESTATUSTARJETA","BACTIVOTARJETA","BBAJATARJETA","ITIPOTARJETA","DTFECHAINICIOVIGENCIA","DTFECHAFINVIGENCIA"
"efa1ebec-1b3a-4129-a534-87347295cd1d","e3585a60-b4ad-479d-a5dc-c4d56a2a7622","24665f64-1ef6-4404-b59a-3fd3cd74a9be","e49098ec-93d6-4a62-a40c-61f73d53b383",1000000000282768,1669,"Tarifa General",1,0,"6f7182bb-01ba-4618-8681-fc3a99b9a9c3","","a2f91813-6c05-4e77-70a4-08dc5c929512",5000000000877227,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,0,,
"c18d46f5-6e05-4cb8-91b0-1be79da4a994","e3586b02-3663-411d-8be9-1e266a37308e","5b95c756-1a97-4a76-8d63-8fb0f40b9d46","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000282769,0,"Estudiante",1,0,"","","a2f91813-6c05-4e77-70a4-08dc5c929512",5000000000877227,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,1,,
"c203e5bb-3162-4036-ac95-f3df93f7b3ec","25aa0986-a54c-4f00-8b52-05444e1a36cd","24665f64-1ef6-4404-b59a-3fd3cd74a9be","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000532471,91,"Tarifa General",1,0,"","","201767c0-d5e5-4acd-1b40-08dc5d72a8e8",5000000000901746,"1f752e96-0ecc-4765-b163-259865bfabf0",1,0,0,,
"31934606-1e9d-401d-92a6-2793bb7fb552","89dcdf39-edba-484a-ace2-db09075a0d60","24665f64-1ef6-4404-b59a-3fd3cd74a9be","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000983135,0,"Tarifa General",1,0,"","","201767c0-d5e5-4acd-1b40-08dc5d72a8e8",5000000000901746,"1f752e96-0ecc-4765-b163-259865bfabf0",1,0,0,,
"afb2384c-8b0a-45f6-bf1e-5448436a7112","054e5fa9-8eba-46b8-8b7e-84183d003e10","12d2494c-f2af-400d-b918-523750dcbb35","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000412059,100,"Persona con Discapacidad",1,0,"","","5bd876e9-299c-49a7-dfea-08dc5d15fe6d",5000000000788815,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,2,,
"37f84968-fc35-4e48-a931-ca9dcff6176a","00dcd91e-5716-49f4-8a0c-2e44443b4851","5b95c756-1a97-4a76-8d63-8fb0f40b9d46","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000391177,0,"Estudiante",1,0,"","","5bd876e9-299c-49a7-dfea-08dc5d15fe6d",5000000000788815,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,1,,
"2c87cef8-bc97-4f23-9b4c-c7b3fd122678","1d421afd-dec4-4dc0-a70b-dfa633d232dd","5b95c756-1a97-4a76-8d63-8fb0f40b9d46","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000442862,0,"Estudiante",1,0,"","","8e337f41-eb5e-432f-243c-08dc5c929512",5000000000857667,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,1,,
"3f510055-ce08-4e18-9e4d-06329339fcd7","1d42e9e3-9e1c-4cb7-b59e-02b5fb4b758e","5b95c756-1a97-4a76-8d63-8fb0f40b9d46","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000442861,229.5,"Estudiante",1,0,"","","8e337f41-eb5e-432f-243c-08dc5c929512",5000000000857667,"90d695c7-7769-411f-9d1e-ecca943fddc1",1,0,1,,
"faa31127-8c73-4ae3-856c-f28ec69223bf","00dcd75c-c6b2-4434-9cc8-67dc3cb34d45","24665f64-1ef6-4404-b59a-3fd3cd74a9be","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000391176,150,"Tarifa General",1,0,"","","9bd2afd2-d680-46a5-6f18-08dc5c3b0a2f",5000000000158574,"1f752e96-0ecc-4765-b163-259865bfabf0",1,0,0,,
"5186a345-5597-4c8f-b49c-c395d3345191","6a0eb2a1-44af-4324-bf75-a2321b456883","24665f64-1ef6-4404-b59a-3fd3cd74a9be","5e879806-6e1d-4d5b-9610-25f2a681b637",1000000000981140,-4,"Tarifa General",1,0,"","","9bd2afd2-d680-46a5-6f18-08dc5c3b0a2f",5000000000158574,"1f752e96-0ecc-4765-b163-259865bfabf0",1,0,0,,
